years,months,BETA0,BETA1,BETA2,BETA3
0,0,2.054922219561619,1.3862938095286943,-2.263732658103795,13.168114868322016
0,0,3.022742925970831,2.0392060420486207,-3.3298982382078464,19.369991568383124
0,0,3.0910688633323122,2.0853001584549697,-3.4051670996413153,19.80782993671499
0,0,3.09748281513018,2.089627145426718,-3.412232803644182,19.84893108070487
0,0,3.029922980903357,2.044049858330465,-3.3378078927354062,19.416001965863053
0,0,3.0370250272017465,2.0488410483447246,-3.3456316117997993,19.4615124774372
0,0,3.0440493370288944,2.05357979569822,-3.3533696952196896,19.506524847148352
0,0,3.0509961980775175,2.0582662944745174,-3.3610224599216214,19.551040918555692
0,0,3.057865913234976,2.06290074900781,-3.3685902395707843,19.595062632586977
0,0,3.0646587998011983,2.067483373355311,-3.376073383709462,19.63859202252689
0,0,3.071375188483151,2.0720143906189064,-3.383472256649333,19.681631207573574
0,0,3.0780154228362133,2.0764940325682906,-3.3907872368560765,19.72418238925886
0,0,3.0845798585938256,2.0809225391887347,-3.3980187162109012,19.766247847152638
0,0,2.05530877813109,1.3865545900812506,-2.264158496731482,13.1705919682325
0,0,3.1038221027915642,2.0939037623994388,-3.4192162565318784,19.88955377061196
0,0,3.1632002520190277,2.1339615124747016,-3.4846281024423504,20.27005395804115
0,0,3.168746304608798,2.1377029963612104,-3.4907377158629997,20.305593530718227
0,0,3.11008712472898,2.0981302781506064,-3.426117897201515,19.92970055949726
0,0,3.11627828851642,2.10230696763822,-3.4329381746426177,19.96937405912928
0,0,3.12239601044245,2.1064341116993135,-3.4396775474448185,20.008576937120253
0,0,3.1284407149515876,2.1105119966730985,-3.4463364831824648,20.04731191334644
0,0,3.1344128341973954,2.1145409140994706,-3.4529154579223014,20.08558175708432
0,0,3.1403128073721325,2.118521160266777,-3.459414955485006,20.123389282714914
0,0,3.1461410805950285,2.122453036136447,-3.4658354673221092,20.16073734900787
0,0,3.1518981061302056,2.126336846815382,-3.4721774916544454,20.197628854109826
0,0,3.157584342163229,2.130172901405215,-3.4784415332259977,20.234066734112513
0,0,3.174222973089298,2.141397672266257,-3.4967708947244174,20.34068848417215
0,0,3.225280299511482,2.175842020026173,-3.553016399375206,20.667868137395306
0,0,3.2300259747646805,2.179043552504101,-3.558244305304275,20.698278824606234
0,0,3.1796307350863002,2.1450458624062456,-3.502728165186205,20.375341879069143
0,0,3.1849700721359615,2.1486478916356107,-3.5086100577157047,20.409556801133505
0,0,3.190241469237926,2.1522040871453267,-3.5144171065956846,20.443336358283858
0,0,3.1954454149670464,2.1557147785382798,-3.5201498500474155,20.47668368134905
0,0,3.2005824006913097,2.1591802973016625,-3.5258088293691285,20.50960191905659
0,0,3.20565292046011,2.1626009767316026,-3.531394588812931,20.542094237316647
0,0,3.2106574707808,2.1659771517824167,-3.5369076753386515,20.574163817790208
0,0,3.2155965501717865,2.1693091587651216,-3.542348638121529,20.605813855025264
0,0,3.220470659050808,2.172597335272064,-3.5477180284291334,20.637047555740885
0,0,3.2347081893619785,2.1822022730869675,-3.563402302037803,20.728282850582705
0,0,3.27815135377074,2.2115099467852213,-3.6112599333911035,21.006670311544614
0,0,3.282168906914081,2.21422027275233,-3.6156857292531916,21.03241513087524
0,0,3.2393274486370283,2.185318522683498,-3.568490946258805,20.75788345354538
0,0,3.243884258593835,2.1883926426546503,-3.5735107953887613,20.787083876010588
0,0,3.2483791257950285,2.1914249747382453,-3.5784624074645475,20.81588736407438
0,0,3.252812556914967,2.194415860747475,-3.583346340646115,20.844297164548774
0,0,3.257185058851456,2.197365642646276,-3.588163153339573,20.87231652567765
0,0,3.2614971383905784,2.2002746623232134,-3.5929134038279513,20.899948694988964
0,0,3.265749301871514,2.2031432613653625,-3.5975976499019677,20.927196917146876
